8405001 1  22111251
8405002 7  13121151
8405003 4  11122131
8405004 4  13121151
8405005 6  13111251
8405006 4  13111141
8405007 4  13111151
8405008 4  12121241
8405009 3  12121231
8405010 3  13121251
8405011 4  13121151
8405012 4  13121141
8405013 1  13111251
840501499  19999951
8405015 3  11121221
8405016 3  13111151
8405017 1  13121241
8405018 3  73111241
8405019 1  12122231
8405021 6  13121251
8405022 1  13111251
8405023 4  12121231
8405024 1  13121241
8405025 3  12121121
8405026 4  12111231
8405027 5  13121251
8405028 2  12121131
8405029 1  13111141
8405030 6  11111241
8405031 2  13111151
8405032 5  12121231
8405033 4  12121231
8405034 2  92111112
8405035 7  13121151
8405036          41
8405037 2  13111151
8405038 2  12111241
8405039 1  12121231
8405040 1  12111151
8405041 2  13121151
8405042 2  72111231
8405043 2  11121211
8405044 5  12121231
8405045 5  13111251
8405046 4  12111141
8405047 2  13121241
8405048 2  12121251
8405049 2  12121221
8405050 2  41121112
8405051 1  12122231
8405052 2  13121141
8405053 2  73121251
8405054 1  12121231
8405055 6  13111251
8405056 3  11111111
8405057 3  12111121
8405058 4  12112241
8405059 3  32121221
8405060 5  12221231
8405061 7  13121251
8405062 2  13121241
8405063 2  12121121
8405064 3  83121212
8405065 6  13111151
8405066 3  13111251
8405067 3  12111151
8405068          21
8405069 2  12121131
8405070          51
8405071 1  13112251
8405072 4  11121211
8405073 6  13121251
8405074 2  13111241
8405075 2  12121221
8405076 2  12121231
8405077 5  13111151
8405078          51
8405079          51
8405080 4  12111131
8405081 3  12121251
8405082 4  12121231
8405083 3  11111211
840508499  19122251
8405085 3  13111251
8405086 1  13122251
8405087          31
8405088 2  12111231
8405089 2  13121231
8405090 4  12111221
8405091 1  89122212
8405092 2  12121221
8405093          21
8405094 5  13111151
8405095 4  11121221
8405096          51
8405097 2  12121111
8405098 2  13111151
8405099 4  12121241
8405100 4  11121211
8405101 2  12121221
8405102 4  12121241
8405104 1  13121241
8405105 3  23111151
8405106 3  12111241
8405107 3  13111251
8405108 4  12111221
8405109 2  12121221
8405110 2  13121251
8405111 2  12121231
8405112 5  13121251
8405113 3  12111231
8405114 6  13121151
8405115 7  13111151
8405116 2  13111151
8405117 2  12111131
8405118 2  12111231
8405119 8  23122251
8405120 5  12121241
8405121 2  12122231
8405122          41
8405123 5  13121251
840512499  13111251
8405125 4  12121231
8405126 2  12121241
8405127 5  12121151
8405128 2  92121231
8405129 6  73111251
8405130 2  92121222
8405131 2  12122231
8405132 2  12121241
8405133 2  13111141
8405134 2  13121231
8405135 2  92122212
8405136 1  13111151
8405137 4  12121221
8405138 4  73121251
8405139 2  12111221
8405140 4  13111141
8405141 5  23111251
8405142 1  73111251
8405143 2  12111211
8405144 5  13122241
8405145 5  12121251
8405146 2  12121221
8405148 5  12111251
8405149 2  72111121
8405150 4  92121222
8405151 3  13111151
8405152 2  12121221
8405153 4  12111231
8405154 1  13121241
8405155 4  12121241
8405156 4  13121241
8405157 5  13111251
8405158 2  13111131
8405159 2  11121211
8405160 3  13122241
8405161 6  13121141
8405162 2  11121231
8405163          21
8405164 4  13122241
8405165          41
8405166 4  12121241
840516799  19999931
8405168 1  13121241
8405169 2  13111151
8405170 6  13121251
8405171 4  13121241
8405172 2  12111251
8405173 2  12121241
8405174 1  13121241
8405175          51
8405176 4  13111251
8405177 7  13111251
8405178 1  12121231
8405179 5  12111231
8405180 2  12121221
8405181 4  22111151
8405182 2  11121221
8405183 2  12121241
8405184 3  13111141
8405185 3  12121131
8405186 5  13121151
8405187 3  73121251
8405188 2  12121241
8405189 5  13121151
8405190 5  73111141
8405192 4  13121251
8405193 3  12122251
8405194 2  12121211
8405195 2  11121111
8405196          51
8405197 3  13121251
8405198 4  12121221
8405199 5  13121241
8405200 2  12121141
8405201 4  13121251
8405202 2  11121211
8405203 3  12111241
8405204 3  92121212
8405205          51
8405206 2  13121241
8405207 2  12121121
8405208 3  12121131
8405209 6  13121251
8405210 3  13122241
8405211 5  13121251
8405212 3  12121111
8405213 1  13111141
8405214 3  12111121
840521599  19999931
8405216 4  12122231
8405217 2  92121222
8405218 3  13121251
8405220 2  73111251
8405221 2  13111251
8405222 6  13111151
8405223 6  73111251
8405224          21
8405225 2  12111221
8405226 4  13111241
8405227 2  71121231
8405228 2  12121241
8405229 5  22121241
8405230 3  13111141
8405231 6  73122251
8405232          41
8405233 2  12121231
8405234 2  13121251
8405235 3  11222211
8405236 4  13121231
8405237 4  12111131
8405238 5  12121231
8405239 4  12121241
8405240 2  13111151
8405241 5  12111241
8405242 2  12121231
8405243 2  11121221
8405244 5  13111151
8405245 1  92122212
840524699  19999931
8405247 2  13121151
8405248 2  12121231
8405249 2  13121251
8405250 4  13121241
8405251 3  12111111
8405252 5  23111151
8405253 2  12121131
8405254 2  12111241
8405256 1  32111111
8405257 5  13111251
8405258 4  13121241
8405259 2  12121121
8405260 3  19121121
8405261 2  12121231
8405262 4  12112221
8405263 2  12111151
8405264 4  73111141
8405265 5  13111151
8405266 5  12111241
8405267 4  12111131
8405268 5  13121251
8405269 6  23112151
8405270 3  13111241
8405271 2  22121211
8405272 3  13121241
8405273 1  13121251
8405274 2  13111141
8405276 5  12111141
8405277 2  13111151
8405278 2  13121241
8405279 2  12121231
8405280 3  12121191
8405281 2  12121221
8405282 5  13121251
8405283 5  12111231
8405284 7  13122251
8405285 2  12121131
8405286 6  13121251
8405287          51
8405288 5  12121241
8405289 4  13122241
8405290 4  72121231
8405291          92
8405292 5  13121241
8405293 4  13121251
8405294 2  11121221
